,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
20590,AZA6YR,,4ca993,EI-IKF,A320,,LIRF,2019-07-01 04:46:55+00:00,2019-07-01 05:45:04+00:00,2019-07-01 00:00:00+00:00,40.736280538268005,17.75684009898793,1524.0,41.87946384235964,12.24745639534884,175.26
20675,AZA7MX,,4ca8f6,EI-IMI,A319,,LIRF,2019-07-01 04:48:32+00:00,2019-07-01 05:21:41+00:00,2019-07-01 00:00:00+00:00,43.70590209960938,11.209631631540699,1828.8,41.86390686035156,12.25393815474077,83.82000000000002
20695,AZA1312,AZ1312,4caabf,EI-RDO,E75S,,LIRF,2019-07-01 04:48:55+00:00,2019-07-01 05:29:30+00:00,2019-07-01 00:00:00+00:00,44.30688373113082,11.41734053448933,3962.4,41.880615234375,12.24694685502486,182.88
20880,AZA677,,4ca9f3,EI-ISB,B772,MMMX,LIRF,2019-07-01 04:52:06+00:00,2019-07-01 16:07:26+00:00,2019-07-01 00:00:00+00:00,19.46507263183594,-99.02090345110213,2438.4,41.86321711136123,12.206321538880813,259.08
20957,VLG7GC,VY6250,345314,EC-MOO,A321,LFPO,LIRF,2019-07-01 04:53:33+00:00,2019-07-01 06:33:50+00:00,2019-07-01 00:00:00+00:00,48.71580505371094,2.3054387019230766,304.8,41.90391540527344,12.23714655095881,312.42
20971,AZA1490,AZ1490,4caaa7,EI-IMV,A319,,LIRF,2019-07-01 04:53:49+00:00,2019-07-01 05:40:51+00:00,2019-07-01 00:00:00+00:00,45.2315042786679,10.94184689405488,2438.4,41.90139770507812,12.23820773037997,10363.2
21057,AZA9YY,,4ca8df,EI-IMF,A319,,LIRF,2019-07-01 04:55:30+00:00,2019-07-01 05:22:25+00:00,2019-07-01 00:00:00+00:00,41.18234408103813,13.97467179731889,3962.4,41.89105534957627,12.24260197129361,236.22
21113,AZA1468,AZ1468,4caab4,EI-IMX,A319,LIPZ,LIRF,2019-07-01 04:56:35+00:00,2019-07-01 05:46:57+00:00,2019-07-01 00:00:00+00:00,45.51761433229608,12.36812684594131,0.0,41.89370727539062,12.24145369096236,259.08
21151,AZA4HC,,4ca844,EI-IXJ,A321,,LIRF,2019-07-01 04:57:10+00:00,2019-07-01 05:48:47+00:00,2019-07-01 00:00:00+00:00,38.34246826171875,12.83933598944481,3048.0,41.862053305415785,12.25480190543241,68.58
21217,DLH8EL,,3c6485,D-AIDE,A321,EDDM,LIRF,2019-07-01 04:58:43+00:00,2019-07-01 06:11:27+00:00,2019-07-01 00:00:00+00:00,48.34660720825195,11.804087712214539,304.8,41.86253356933594,12.25456237792969,68.58
21243,AZA1TX,,4caa1a,EI-RDE,E75S,LIMC,LIRF,2019-07-01 04:59:09+00:00,2019-07-01 05:55:51+00:00,2019-07-01 00:00:00+00:00,45.6470947265625,8.728905654535062,304.8,41.86172743975105,12.25492965343387,68.58
