,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
24659,RYR32YN,,4d2219,,,,LIMC,2021-07-01 07:06:30+00:00,2021-07-01 08:29:26+00:00,2021-07-01 00:00:00+00:00,40.77566528320312,17.776123046875,1828.8,45.61468505859375,8.737815298685215,236.22
25075,RYR92KP,,4d2263,,,LICC,LIMC,2021-07-01 07:17:06+00:00,2021-07-01 08:52:49+00:00,2021-07-01 00:00:00+00:00,37.4879150390625,15.22781047415226,1219.2,45.62031555175781,8.736274533155488,205.74
25206,EJU13TL,,440175,,,,LIMC,2021-07-01 07:20:22+00:00,2021-07-01 09:51:29+00:00,2021-07-01 00:00:00+00:00,37.50192415916313,25.13510662576427,2133.6,45.62221721067267,8.735710144042969,213.36
25355,EJU76PK,,440097,,,,LIMC,2021-07-01 07:24:15+00:00,2021-07-01 08:51:05+00:00,2021-07-01 00:00:00+00:00,40.77538441803495,17.77150934392755,2133.6,45.62370300292969,8.735336675876525,213.36
25472,EJU32GP,,440612,,,LIBD,LIMC,2021-07-01 07:27:34+00:00,2021-07-01 08:48:28+00:00,2021-07-01 00:00:00+00:00,41.136474609375,16.75347900390625,0.0,45.61532592773438,8.737614329268293,236.22
25558,EJU14ZM,,4400b7,,,LEMH,LIMC,2021-07-01 07:30:09+00:00,2021-07-01 08:35:10+00:00,2021-07-01 00:00:00+00:00,39.8680813029661,4.21978759765625,0.0,45.61691025556144,8.737220764160156,220.98
25755,AUI6NM,,5082c8,UR-PSG,B738,UKBB,LIMC,2021-07-01 07:35:20+00:00,2021-07-01 10:04:45+00:00,2021-07-01 00:00:00+00:00,50.2928032309322,30.90097788217905,304.8,45.62338256835938,8.735336675876525,220.98
26361,RYR6VJ,,4d225c,,,EGSS,LIMC,2021-07-01 07:51:23+00:00,2021-07-01 09:29:56+00:00,2021-07-01 00:00:00+00:00,51.89529418945312,0.2503204345703125,0.0,45.6228223897643,8.735572814941406,205.74
26546,MSR703,MS703,0100de,SU-GCP,B738,,LIMC,2021-07-01 07:56:09+00:00,2021-07-01 11:18:59+00:00,2021-07-01 00:00:00+00:00,30.79425876423464,30.66383056640625,7620.0,45.61379125562765,8.738113403320312,236.22
26574,BEL3215,SN3215,44ce61,OO-SSA,A319,EBMB,LIMC,2021-07-01 07:56:45+00:00,2021-07-01 09:06:23+00:00,2021-07-01 00:00:00+00:00,50.90927124023438,4.491552404455237,0.0,45.61935424804688,8.73654249237805,213.36
26665,RYR9AT,,4d2215,9H-QBS,B738,,LIMC,2021-07-01 07:59:02+00:00,2021-07-01 09:27:37+00:00,2021-07-01 00:00:00+00:00,38.92861059156515,16.0321044921875,2133.6,45.62212410619703,8.735847473144531,213.36
26743,RYR5AM,,4d2260,,,EBMB,LIMC,2021-07-01 08:00:43+00:00,2021-07-01 09:11:40+00:00,2021-07-01 00:00:00+00:00,50.91050487453654,4.495773315429688,0.0,45.61826027045815,8.736808776855469,213.36
26884,ABR362,,396669,F-GZTJ,B734,LFPG,LIMC,2021-07-01 08:04:15+00:00,2021-07-01 09:09:52+00:00,2021-07-01 00:00:00+00:00,48.99526977539062,2.575941819411057,0.0,45.63017764333951,8.723487854003906,228.6
26924,THY6397,,4b8467,TC-ACG,B744,DAAG,LIMC,2021-07-01 08:05:22+00:00,2021-07-01 09:34:11+00:00,2021-07-01 00:00:00+00:00,36.69158935546875,3.160171508789062,304.8,45.62733795683263,8.734268188476562,228.6
26968,BCS6756,,3c5426,D-AEAF,A306,EGGW,LIMC,2021-07-01 08:06:24+00:00,2021-07-01 09:32:09+00:00,2021-07-01 00:00:00+00:00,51.87391662597656,-0.3726443728885135,0.0,45.62654113769531,8.734532798208843,220.98
27189,EJU89JA,,440181,OE-LQG,A319,LGAV,LIMC,2021-07-01 08:11:33+00:00,2021-07-01 10:33:50+00:00,2021-07-01 00:00:00+00:00,37.83279418945312,23.88182295129655,1524.0,45.62260437011719,8.735604635099087,213.36
28425,IFA6200,,3ccd45,,,EDDN,LIMC,2021-07-01 08:41:49+00:00,2021-07-01 09:36:27+00:00,2021-07-01 00:00:00+00:00,49.49826049804688,11.08224166067023,0.0,45.62598794193591,8.734611511230469,220.98
28515,EJU74VQ,,440185,OE-IJI,A320,,LIMC,2021-07-01 08:43:54+00:00,2021-07-01 11:12:26+00:00,2021-07-01 00:00:00+00:00,36.82122802734375,24.91905212402344,5486.400000000001,45.61482238769531,8.737748308879574,236.22
28587,AFR66UR,AF1330,3944f3,F-GRHT,A319,LFPG,LIMC,2021-07-01 08:45:33+00:00,2021-07-01 09:48:42+00:00,2021-07-01 00:00:00+00:00,48.9959044375662,2.557212428042763,0.0,45.61476885262182,8.737770080566406,236.22
28792,EJU46EW,,440630,,,LICJ,LIMC,2021-07-01 08:50:24+00:00,2021-07-01 10:14:06+00:00,2021-07-01 00:00:00+00:00,38.23324584960938,13.21047519115691,1219.2,45.62310791015625,8.735470655487806,213.36
28815,VLG678U,,34608f,,,LEBL,LIMC,2021-07-01 08:51:03+00:00,2021-07-01 10:00:44+00:00,2021-07-01 00:00:00+00:00,41.28694695941472,2.087901722301136,-304.8,45.62576293945312,8.734733767625762,213.36
28840,NOS4316,,300189,I-NEOT,B738,LEMH,LIMC,2021-07-01 08:51:45+00:00,2021-07-01 10:02:42+00:00,2021-07-01 00:00:00+00:00,39.80081331931938,4.20623779296875,1219.2,45.61244201660156,8.738418206935977,251.46
28891,FYG31S,,44cc4f,,,EBMO,LIMC,2021-07-01 08:52:56+00:00,2021-07-01 09:57:29+00:00,2021-07-01 00:00:00+00:00,50.80506405587924,3.098983764648438,1219.2,45.6134033203125,8.738217237519056,251.46
29466,THY7EJ,,4ba8ca,TC-JFJ,B738,LTFJ,LIMC,2021-07-01 09:06:12+00:00,2021-07-01 11:40:29+00:00,2021-07-01 00:00:00+00:00,40.93263787738347,29.40278486772017,609.6,45.62096030025159,8.736053466796875,220.98
